year,boro,population,counts
2006,bronx,1362930,114328
2007,bronx,1368382,117561
2008,bronx,1373855,114235
2009,bronx,1379351,112795
2010,bronx,1384868,112169
2011,bronx,1400000,108765
2012,bronx,1415000,106883
2013,bronx,1429000,104062
2014,bronx,1442000,106016
2015,bronx,1455000,102950
2006,brooklyn,2489598,160029
2007,brooklyn,2493553,156347
2008,brooklyn,2497515,155912
2009,brooklyn,2501482,150486
2010,brooklyn,2505456,152342
2011,brooklyn,2545000,151808
2012,brooklyn,2574000,154690
2013,brooklyn,2600000,149559
2014,brooklyn,2621000,148453
2015,brooklyn,2637000,140351
2006,manhattan,1567343,129603
2007,manhattan,1572288,130743
2008,manhattan,1577248,128380
2009,manhattan,1582224,124574
2010,manhattan,1587216,121668
2011,manhattan,1610000,115687
2012,manhattan,1625000,119863
2013,manhattan,1631000,117742
2014,manhattan,1637000,113095
2015,manhattan,1645000,110580
2006,queens,2230070,107170
2007,queens,2230248,106393
2008,queens,2230426,103266
2009,queens,2230605,98917
2010,queens,2230783,99436
2011,queens,2261000,98640
2012,queens,2280000,99080
2013,queens,2303000,100908
2014,queens,2322000,100087
2015,queens,2339000,92981
2006,staten island,459000,27542
2007,staten island,461262,26156
2008,staten island,463000,26881
2009,staten island,466000,24173
2010,staten island,468864,24109
2011,staten island,471000,23297
2012,staten island,471000,23611
2013,staten island,473000,22612
2014,staten island,473000,22711
2015,staten island,475000,21714
